,hpi,perm,wage,supply,mr
1990-03-31,75.07666666666667,1229.5417506375934,12272057687.5419,7.466666666666666,10.131538461538462
1990-06-30,75.24333333333333,1216.6014064727533,12391560654.8409,8.133333333333333,10.323846153846155
1990-09-30,75.31666666666666,1187.4276804657,12591667842.0038,8.133333333333333,10.103076923076923
1990-12-31,75.26666666666667,1102.2916649191131,12521958610.7,8.466666666666667,9.95923076923077
1991-03-31,75.77333333333333,1112.2391076262002,12765684710.8887,8.200000000000001,9.500769230769231
1991-06-30,75.66666666666667,1284.1203575125967,12972012980.5556,7.1000000000000005,9.522307692307693
1991-09-30,75.62,1352.15017550261,13059053558.3667,7.1000000000000005,9.273076923076923
1991-12-31,75.49666666666667,1386.25993043031,13029752944.5724,6.366666666666667,8.69
1992-03-31,75.88666666666667,1700.3119917107304,13397566362.8941,5.3999999999999995,8.688461538461539
1992-06-30,75.76666666666667,1503.0816325449032,13534764906.8859,5.8999999999999995,8.677692307692308
1992-09-30,76.29666666666667,1701.7599805921466,13753784307.1204,5.166666666666667,8.017692307692307
1992-12-31,76.91333333333334,1743.5135231145298,14603624327.1621,5.166666666666667,8.192142857142857
1993-03-31,76.60333333333334,1635.0466392476067,13651222932.2585,5.366666666666667,7.723333333333334
1993-06-30,77.49666666666667,1759.7355142198037,14532671803.0186,5.066666666666666,7.453076923076923
1993-09-30,77.89333333333333,1841.0774634176798,14700288857.1082,5.233333333333333,7.087692307692308
1993-12-31,78.41666666666667,1988.9504556012032,15337041338.2729,4.766666666666667,7.046428571428572
1994-03-31,79.02666666666666,2043.9815772657366,14707689384.3394,5.233333333333333,7.295833333333333
1994-06-30,79.54333333333334,1895.7898546781,15255915618.4926,5.566666666666666,8.427692307692308
1994-09-30,79.72666666666667,1715.42163177534,15855615922.8017,6.133333333333333,8.594285714285714
1994-12-31,80.43666666666667,1733.2965972184231,15774702979.0017,6.166666666666667,9.105384615384615
1995-03-31,80.33,1692.1342869814264,16461947248.502,6.966666666666666,8.785384615384617
1995-06-30,80.69666666666667,1688.8188201168832,16538492372.6277,6.266666666666667,7.917692307692307
1995-09-30,81.46,1922.8022280892467,16739774281.982,6.0,7.696153846153846
1995-12-31,82.11666666666666,2046.2773444252598,17230226735.5398,6.5,7.339230769230769
1996-03-31,82.8,2206.04963798819,17770314777.2762,5.966666666666666,7.272307692307692
1996-06-30,83.15666666666667,2197.0579117104535,17962397620.6595,5.966666666666666,8.102307692307692
1996-09-30,83.89999999999999,2080.9877394482896,18284784300.7329,5.3,8.146923076923077
1996-12-31,84.17,2074.09791164197,18765127277.2847,5.266666666666667,7.703076923076923
1997-03-31,84.73,1991.0090837071102,19396140812.865,4.433333333333334,7.7930769230769235
1997-06-30,85.27666666666666,2071.50053420423,19786123212.9291,4.566666666666666,7.926923076923076
1997-09-30,85.96666666666665,2257.4215978563166,20653077642.1633,4.3,7.47
1997-12-31,87.07333333333332,2389.9034883948,21237140827.0504,4.2,7.205384615384616
1998-03-31,88.39333333333333,2481.0946598515966,21524603135.8057,4.0,7.050000000000001
1998-06-30,89.67,2616.524304113613,22332322704.3103,3.9,7.0976923076923075
1998-09-30,91.15333333333336,2697.47915366031,22752174578.2708,4.066666666666666,6.872307692307692
1998-12-31,92.44333333333331,2806.78511572535,23679958473.1727,3.766666666666667,6.764285714285714
1999-03-31,93.78666666666668,2842.4369945676767,23207665540.2129,4.0,6.8775
1999-06-30,95.63333333333333,2687.539827029,24238335195.1611,3.9333333333333336,7.181538461538461
1999-09-30,96.93,2782.691576760333,24808464723.0572,4.166666666666667,7.786153846153846
1999-12-31,98.48666666666666,2545.94955992539,25898386558.5029,4.266666666666667,7.840714285714285
2000-03-31,101.04,2890.00418548414,26591885705.4965,4.3,8.256923076923076
2000-06-30,102.15333333333336,2812.2863070894696,27015580031.2984,4.533333333333334,8.316153846153846
2000-09-30,103.73333333333332,2972.2010481464367,27532153901.1617,4.166666666666667,8.02
2000-12-31,105.39333333333332,3170.4669609725534,27818676444.4289,3.9333333333333336,7.620769230769231
2001-03-31,106.70666666666666,3158.8119970303233,28452393498.5696,3.766666666666667,7.006923076923077
2001-06-30,108.23666666666666,3282.9073583568297,27983453773.3524,4.033333333333334,7.13
2001-09-30,109.07666666666668,2856.5237522334005,27826620023.9851,4.333333333333333,6.963846153846154
2001-12-31,110.27,2968.7833475846764,27437854746.6233,4.066666666666666,6.770769230769231
2002-03-31,110.98333333333332,3139.08656119099,27502027019.3178,4.1000000000000005,6.9715384615384615
2002-06-30,112.01666666666668,3208.1019076275766,27674488420.502,4.166666666666667,6.813076923076922
2002-09-30,113.04,3305.0645127534667,27494823532.7219,4.033333333333333,6.28923076923077
2002-12-31,113.19666666666669,3225.7456453980267,27382841972.8985,4.0,6.075384615384616
2003-03-31,113.64,3298.1253937798333,27044149491.2641,4.2,5.840769230769231
2003-06-30,113.81,3276.018089184117,27463458894.0677,3.8333333333333335,5.506923076923077
2003-09-30,114.39666666666666,3750.9277253993628,27626948770.1788,3.6333333333333333,6.033846153846154
2003-12-31,115.03666666666668,3381.5766942711834,28109599784.2592,3.9666666666666663,5.9192857142857145
2004-03-31,115.70333333333332,3744.7126765713233,28355762545.8751,3.6999999999999997,5.5975
2004-06-30,116.40666666666668,3748.93419997933,28580371755.9712,3.9,6.106153846153846
2004-09-30,116.93666666666668,3816.6236797697834,28994128177.6001,4.3,5.894285714285714
2004-12-31,117.94666666666669,3681.8668726416067,30107724001.8997,4.1000000000000005,5.7361538461538455
2005-03-31,119.27666666666669,3744.06336928261,29142168474.3932,4.266666666666667,5.768461538461538
2005-06-30,120.17333333333332,3767.205744689451,30387051996.9948,4.266666666666667,5.708461538461538
2005-09-30,121.36,4043.6433328420026,31563220988.5316,4.466666666666667,5.7638461538461545
2005-12-31,122.76,4912.242465301487,31726363923.207,4.8,6.226153846153846
2006-03-31,124.43333333333334,4328.025089466234,32676905800.5912,5.766666666666667,6.2469230769230775
2006-06-30,125.03000000000002,3874.563461846557,33055508323.2024,6.266666666666667,6.602307692307692
2006-09-30,125.68333333333334,3385.4784202214164,33412954115.4566,6.8999999999999995,6.5600000000000005
2006-12-31,127.06666666666666,2912.048200169907,34087831227.8412,6.8,6.243846153846154
2007-03-31,128.24333333333334,2736.746411242397,35285331272.1116,7.666666666666667,6.214615384615384
2007-06-30,129.04,2369.8076140165836,35796519304.5146,7.8,6.358461538461539
2007-09-30,129.08333333333334,2145.6495013474,35809053404.9673,8.9,6.5515384615384615
2007-12-31,129.21,1899.1763035099702,36048766505.3579,9.166666666666666,6.224615384615385
2008-03-31,128.92999999999998,1700.8867146932635,37236427998.5378,9.833333333333334,5.872307692307692
2008-06-30,128.94,1611.0937500425734,36625054527.1217,10.566666666666666,6.086923076923076
2008-09-30,128.70000000000002,1428.0357570233966,36972017256.8504,10.9,6.322307692307692
2008-12-31,128.08333333333334,1049.0849868385014,36454539851.0733,11.4,5.841428571428572
2009-03-31,127.19333333333331,915.0867705949271,35198787790.1313,11.233333333333334,5.06
2009-06-30,127.01,1056.1706467374306,34893387470.084,9.5,5.012307692307692
2009-09-30,128.15666666666667,1385.2125544318599,34774044585.7198,7.733333333333333,5.162307692307692
2009-12-31,129.22666666666666,1390.8129443560167,35310878559.9708,7.666666666666667,4.922142857142857
2010-03-31,128.6233333333333,1479.6347340872,34578891912.6192,7.833333333333333,4.995833333333334
2010-06-30,129.63666666666668,1163.6306083918332,35816330030.4798,7.933333333333334,4.922307692307692
2010-09-30,128.19,1063.9077998836701,36078747467.6353,8.433333333333334,4.4471428571428575
2010-12-31,125.68666666666668,1120.7221024775733,36989866390.2631,7.8,4.436153846153847
2011-03-31,125.48333333333332,1115.9651308477796,36771083884.6012,7.533333333333334,4.846923076923077
2011-06-30,125.14333333333332,1159.5098424762134,37754041428.701,6.633333333333333,4.650769230769231
2011-09-30,125.75,1207.6692623812767,39353204141.8147,6.5,4.291538461538462
2011-12-31,126.3,1164.8270470600066,37262727685.1667,5.666666666666667,4.002307692307692
2012-03-31,127.94666666666669,1307.2135456820934,40037791342.9763,5.0,3.9223076923076925
2012-06-30,129.39333333333337,1422.5176081399402,39220105137.1653,4.8,3.7946153846153843
2012-09-30,131.83,1514.7340796596434,39866114471.0106,4.566666666666666,3.553846153846154
2012-12-31,134.68666666666667,1657.1815038827065,40741894727.5019,4.666666666666667,3.3592307692307695
2013-03-31,136.76333333333332,1614.7716391663068,41053513321.1694,4.1000000000000005,3.496923076923077
2013-06-30,139.73666666666668,1795.7472027682968,41493447072.0172,4.366666666666666,3.6723076923076925
2013-09-30,142.28666666666666,1774.1046967075033,42036690288.6793,5.466666666666666,4.4399999999999995
2013-12-31,145.67999999999998,1718.5015077057203,42155808111.3048,5.033333333333334,4.2930769230769235
2014-03-31,147.83333333333334,1777.7353279534266,44104471787.2488,5.333333333333333,4.364615384615385
2014-06-30,150.22333333333333,1736.4701001535202,44086300067.654,5.533333333333334,4.227692307692307
2014-09-30,153.09333333333333,2019.8269738661468,44671022732.6328,5.666666666666667,4.135384615384615
2014-12-31,156.04666666666665,2048.6547032379735,45619001130.1215,5.366666666666667,3.9635714285714285
2015-03-31,161.29,2284.73726339928,46352938215.8411,4.8,3.716666666666667
2015-06-30,165.04666666666665,2348.17041100177,46872798866.4154,5.1000000000000005,3.819230769230769
2015-09-30,168.36333333333334,2371.1335932788334,47219393366.0877,5.366666666666667,3.9546153846153844
2015-12-31,172.00666666666666,2326.85862522694,49573156122.7584,5.3999999999999995,3.8978571428571427
2016-03-31,176.42333333333332,2230.5659603926833,47147012992.6728,5.533333333333334,3.7384615384615385
2016-06-30,181.0533333333333,2542.110679750573,49081202763.4441,5.133333333333333,3.589230769230769
2016-09-30,185.19666666666663,2544.569234984753,51667028001.9134,4.8999999999999995,3.446153846153846
2016-12-31,188.75,2604.129694097767,49916726626.2474,5.266666666666667,3.8423076923076924
2017-03-31,193.50333333333333,2914.458777416227,51350802117.7903,5.233333333333333,4.173076923076923
2017-06-30,197.86666666666667,2874.826112939827,51907262464.6022,5.266666666666667,3.98
2017-09-30,202.66666666666663,2799.3983495004,52047376016.5557,5.733333333333333,3.883846153846154
2017-12-31,206.73666666666668,2880.95888108058,52861460885.6654,5.3,3.9223076923076925
2018-03-31,210.46666666666667,2938.22225126581,54268401983.9379,5.633333333333333,4.282307692307692
2018-06-30,212.6933333333333,2958.0014764243265,54864293640.0381,5.633333333333333,4.544615384615384
2018-09-30,213.95333333333332,3064.6224628783034,54927236667.452,6.366666666666667,4.566923076923077
2018-12-31,216.21,2896.020214464303,55217567633.1756,7.066666666666666,4.7846153846153845
2019-03-31,218.13333333333333,2694.2353052561466,56780955707.1606,6.3,4.373846153846154
2019-06-30,219.90666666666667,2751.5174441438335,58373343058.6091,5.866666666666667,4.010769230769231
2019-09-30,222.2633333333333,3021.4938100405802,58851056965.6233,5.666666666666667,3.6584615384615384
2019-12-31,225.96666666666667,3263.3582781765567,58442278478.745,5.3999999999999995,3.7
2020-03-31,227.66666666666663,3420.2905060555736,59888197767.961,5.8999999999999995,3.5215384615384617
2020-06-30,229.9633333333333,2825.3211189090234,56641238767.1223,5.333333333333333,3.2392307692307694
2020-09-30,237.2,3845.6023118752005,58401938414.0749,3.4333333333333336,2.9523076923076923
2020-12-31,245.74,4635.3578312715135,62179122763.3542,3.766666666666666,2.7607142857142857
2021-03-31,256.1166666666667,4312.283716877337,60064156915.2171,4.3999999999999995,2.875833333333333
2021-06-30,270.92333333333335,4304.089036748926,65108793839.4647,5.366666666666667,3.003846153846154
2021-09-30,284.99333333333334,3528.39491562166,66385890558.7975,6.233333333333333,2.8721428571428573
2021-12-31,298.6566666666667,4022.1442823194207,69932410391.7192,6.066666666666666,3.079230769230769
2022-03-31,317.27666666666664,4347.167362428177,69584622681.2708,6.3,3.822307692307692
2022-06-30,336.07,3918.02917575963,72861177357.1036,8.733333333333333,5.266153846153846
2022-09-30,339.15,3337.7954633066433,75968134257.8646,9.700000000000001,5.623076923076923
2022-12-31,,2717.34853282371,72161939005.7808,9.166666666666666,6.664615384615384
2023-03-31,,2658.19572426991,77762403871.7586,8.266666666666667,6.372307692307692
2023-06-30,,3395.2340404896636,77261841797.0915,7.366666666666667,6.510769230769231
2023-09-30,,3341.24198624563,77230925069.5363,7.566666666666666,7.04
2023-12-31,,3845.6924364226434,,8.299999999999999,7.303846153846154
2024-03-31,,3878.6154285149496,,8.566666666666668,6.748461538461539
2024-06-30,,3892.5733848864097,,9.1,7.029999999999999
